AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|3|H|LOJA|PALTAS|59018,9100|62422,8100|0,0000|0,0000|0,0000|45029,3500|52470,4200|0,0000|2876,9000|100376,6700|121441,7200
2025|3|I|SANTO DOMINGO DE LOS TSACHILAS|LA CONCORDIA|96819,6000|96030,6600|808,1600|0,0000|0,0000|115609,2100|132773,6800|0,0000|2958,6000|251341,4900|193658,4200
2025|3|H|GUAYAS|LOMAS DE SARGENTILLO|4750,1300|66671,3400|0,0000|0,0000|0,0000|13766,7200|37078,0300|0,0000|0,0000|50844,7500|71421,4700
2025|3|J|GUAYAS|PLAYAS|35664,6000|5108,3800|0,0000|0,0000|0,0000|20822,6300|8912,3200|0,0000|0,0000|29768,0600|40772,9800
2025|3|S|IMBABURA|ANTONIO ANTE|69151,8700|15365,6000|0,0000|0,0000|0,0000|62289,1300|10419,8200|0,0000|6757,5000|79535,2000|84517,4700
2025|3|A|EL ORO|PORTOVELO|2061,1100|18165,8600|0,0000|0,0000|0,0000|12960,4700|5768,5200|0,0000|0,0000|18728,9900|20226,9700
2025|3|N|AZUAY|CHORDELEG|4557,5700|554,0000|0,0000|0,0000|0,0000|6581,0800|11,4000|0,0000|0,0000|9812,9700|5111,5700
2025|3|L|MORONA SANTIAGO|PABLO SEXTO|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|3|I|CHIMBORAZO|ALAUSI|8063,0700|48013,6700|0,0000|0,0000|0,0000|15087,4800|8064,9900|0,0000|0,0000|23152,4700|56076,7400
2025|3|Q|CARCHI|MONTUFAR|3110,1200|22265,3400|0,0000|0,0000|0,0000|82297,2300|31678,4800|0,0000|0,0000|113975,7100|25375,4600
2025|3|F|ESMERALDAS|QUININDE|363339,4600|1410,0900|0,0000|15064,2900|0,0000|345130,7100|7074,8800|781,9600|2170,2500|379961,9100|379813,8400
2025|3|O|SUCUMBIOS|SHUSHUFINDI|10896,4100|91894,1800|0,0000|0,0000|0,0000|911116,9400|167743,1900|0,0000|6952,4000|1085812,5300|102790,5900
2025|3|B|AZUAY|SIGSIG|0,0000|0,0000|0,0000|0,0000|0,0000|300,4000|0,0000|0,0000|0,0000|300,4000|0,0000
2025|3|B|GUAYAS|PLAYAS|66835,2000|361947,2800|0,0000|105690,5800|0,0000|242567,3700|124454,7700|67629,4300|1018,3600|441245,1300|534473,0600
2025|3|E|CAÑAR|BIBLIAN|0,0000|8225,7600|0,0000|0,0000|0,0000|3671,7100|862,3400|593,7200|0,0000|5135,3900|8225,7600
2025|3|R|SUCUMBIOS|SHUSHUFINDI|10500,6500|8634,0000|0,0000|0,0000|0,0000|9185,3100|415,6300|0,0000|0,0000|9600,9400|19134,6500
2025|3|D|TUNGURAHUA|BAÑOS DE AGUA SANTA|20077,0200|1497492,0100|0,0000|0,0000|0,0000|167882,0700|224175,0800|6637,6000|491,7500|403864,9400|1517569,0300
2025|3|S|ORELLANA|AGUARICO|96528,8000|64499,2300|0,0000|0,0000|0,0000|89611,5800|49534,2200|0,0000|1505,2200|140651,0200|161028,0300
2025|3|M|AZUAY|EL PAN|6010,8800|1328,4000|200,0000|0,0000|0,0000|5766,8500|2535,5000|0,0000|0,0000|8849,3500|7539,2800
2025|3|T|ORELLANA|ORELLANA|475,0000|0,0000|0,0000|0,0000|0,0000|1937,1200|329,9900|0,0000|80,0000|2347,1100|475,0000
2025|3|S|MORONA SANTIAGO|TIWINTZA|2619,9800|385,3000|0,0000|0,0000|0,0000|475,3000|666,4500|0,0000|0,0000|1141,7500|3005,2800
2025|3|F|MANABI|JUNIN|113782,0400|0,0000|0,0000|0,0000|0,0000|84259,9200|17806,5100|0,0000|12901,2600|171666,4600|113782,0400
